Frequency,Word,Reading,Type,Meaning
1,の,,case particle,of; in; at; for; by
2,に,,case particle,at; on; in; to; for
3,は,,particle,TOPIC
4,た,,auxiliary,PAST
5,を,,case particle,ACCUSATIVE
6,だ,,auxiliary,COPULA
7,が,,case particle,NOMINATIVE
8,て,,conjunctive particle,REASON
9,と,,case particle,and; or; with; if
10,ます,,auxiliary,POLITE (after verb)
11,も,,particle,"too, also"
12,で,,case particle,in; at; from; by
13,ている、てる,,compound,CONTINUATION
14,です,,auxiliary,COPULA (polite)
15,れる,,auxiliary,PASSIVE
16,という、つう,,compound,"called, named"
17,事,,noun,thing
18,えー、ええ,,interjection,"eh?, what?; well, yes"
19,言う,,verb,"say, speak, talk"
20,のです、んです,,compound,ASSERTION (polite)
21,あの、あのう、あのー,,interjection,"Excuse me; uh, eh, um, ah, er"
22,する,,verb,do; make
23,まー、まあ,,interjection,"Wow!, Oh my God!"
24,の,,particle,PARTICLE
25,ある,,verb,"be (existence), have (possession), happen, occur"
26,ね,,discourse particle,"isn’t it?, don’t you?"
27,ない,,auxiliary,not
28,なる,,verb,"become, get; come to do, start to do; turn into"
29,か,,discourse particle,QUESTION
30,その,,adnominal,that
31,けれど,,conjunction,"though, although"
32,から,,case particle,from
33,よう,,auxiliary,INDUCEMENT
34,思う,,verb,"think, believe; feel; expect"
35,で,,conjunction,"so, then"
36,か,,particle,if; or
37,が,,conjunctive particle,ADVERSATIVE
38,物,,noun,"thing, object, stuff"
39,そう,,adverb,"so, such"
40,何,,pronoun,what; something; anything; nothing
41,と,,conjunctive particle,"if, when; with"
42,私,わたし,pronoun,I
42,私,わたくし,pronoun,I
42,私,あたし,pronoun,I
43,てしまう,,compound,end up doing ...
44,それ,,pronoun,that
45,とか,,particle,and; or
46,この,,adnominal,this
47,無い,,i-adjective,"There is no ... , no ..."
48,行く,,verb,go; come
49,のだ、んだ,,compound,ASSERTION
50,せる,,auxiliary,CAUSATIVE
51,これ,,pronoun,this
52,もう,,adverb,already; soon; again
53,である,,compound,COPULA (formal)
54,時,,noun,time
55,な,,discourse particle,PROHIBITION
56,ず,,auxiliary,NEGATION
57,ので、んで,,conjunctive particle,"as, because, since"
58,人,ひと,noun,"person, people, human being"
59,よ,,discourse particle,"ASSERTION, REMINDING (informal)"
60,こう,,adverb,"so, like this"
61,から,,conjunctive particle,"because, since"
62,ば,,conjunctive particle,if
63,や,,particle,and; or
64,来る,くる,verb,come
65,その,,interjection,"uh, er, um, mm"
66,まで,,particle,"to, till, until"
67,見る,,verb,"see; look at, watch; check"
68,たり,,particle,and
69,今,,noun,now
70,良い、いい,,i-adjective,good
71,所,,noun,"place, point; part; aspect"
72,自分,,noun,oneself
73,ん,,interjection,"oh, mm, well"
74,あー,,interjection,"er, uh, um, hmm, ah, oh"
75,やはり、やっぱり,,adverb,"as (one) expected, still"
76,たい,,auxiliary,"want to, like to"
77,やる,,verb,do; make; give
78,中,なか,noun,"inside, in; into"
79,いる,,verb,"be, exist; stay"
80,できる,,verb,be ready
81,など,,particle,"and so on, etc."
82,として,,compound,as
83,後,あと,noun,"after, later"
84,また,,adverb,"additionally, moreover"
84,また,,conjunction,"again; too, and"
85,ちょっと,,adverb,"(just) a little, a bit"
86,てくる,,compound,go and ...
87,だけ,,particle,"only, alone, merely"
88,くらい、ぐらい,,particle,"about, around"
89,ではない,,compound,it is not the case that ...
90,えーと,,interjection,"well, let me see"
91,方,ほう,noun,"direction, way; side"
92,ていく、てく,,compound,go and ...
93,訳,わけ,noun,"reason, cause"
94,へ,,case particle,DESTINATION
95,どう,,adverb,"how, what"
96,し,,conjunctive particle,"and, besides"
97,本当,,noun,"truth, right"
98,持つ,,verb,"have, take, hold"
99,出る,,verb,"go out, come out; attend"
100,ため,,noun,for
101,すごい,,i-adjective,"fantastic, wonderful; terrible"
102,考える,,verb,think
103,そこ,,pronoun,there; then
104,う,,auxiliary,SOLICITATION
105,分かる,,verb,"understand, see"
106,ておる,,compound,CONTINUATION (polite)
107,について,,compound,"about, concerning, as to"
108,それで,,conjunction,and then; so; that is why
109,入る,はいる,verb,"enter, come in, go in"
110,作る,,verb,"make, create, cook"
111,てみる,,compound,try ... ing
112,聞く、聴く,,verb,"hear; listen; listen to, obey"
113,そして,,conjunction,"and, so"
114,てくれる,,compound,[do something as a favor]
115,場合,,noun,"case, occasion"
116,話,,noun,"story, talk"
117,ながら,,conjunctive particle,"with, over, while"
118,そんな,,adnominal,"that, such"
119,使う,,verb,"use, handle"
120,日本,,noun,Japan
121,風,ふう,na-adjective,"style, type, way, like"
122,おー,,interjection,"Oh, Wow!"
123,前,まえ,noun,forward; front; before
124,多い,,i-adjective,"many, much, a lot of"
125,のではない、んではない,,compound,it is not that ...
126,よく,,adverb,"good, well; often"
127,一つ,,noun,one
128,子供,,noun,child
129,非常,,na-adjective,"very, extremely"
130,気,,noun,"mind, heart"
131,ても,,conjunctive particle,even if
132,取る,,verb,"take, get; have; pass"
133,うち,,noun,inside; of; before
134,知る,,verb,know
135,より,,case particle,than; from
136,それから,,conjunction,"and then, after that, and"
137,うー,,interjection,"Woo, Oooh"
138,感じ,,noun,"feeling, impression; atmosphere"
139,みたい,,na-adjective,like
140,でも,,conjunction,"but, however"
141,ここ,,pronoun,here
142,とても、とっても,,adverb,very
143,いろいろ,,"adverb, na-adjective",various
144,一,,noun,one
145,そう,,"noun, na-adjective",be about to
146,行なう,,verb,"do, carry out, hold"
147,一番,,adverb,"number one, first, most"
148,二,,noun,two
149,同じ,,adnominal,same
150,まず,,adverb,first; anyway
151,必要,,na-adjective,necessary n necessity
152,仕事,,noun,"work, job"
152,仕事する,,verb,work
153,余り,,adverb,the rest
153,余り,,noun,(not) much
154,によって,,compound,"by, because of; depend on, depending on"
155,かもしれない,,compound,"perhaps, maybe"
156,僕,ぼく,pronoun,I (used by male speakers)
157,皆,,noun,everyone; everything
158,彼,かれ,pronoun,he
